SPFB.RTS,1,20200805,161500,128690.0000000,128810.0000000,128400.0000000,128440.0000000,8884
SPFB.RTS,1,20200805,163000,128440.0000000,128880.0000000,128390.0000000,128730.0000000,15370
SPFB.RTS,1,20200805,164500,128730.0000000,129140.0000000,128690.0000000,129020.0000000,13421
SPFB.RTS,1,20200805,170000,129020.0000000,129110.0000000,128740.0000000,128820.0000000,9244
SPFB.RTS,1,20200805,171500,128810.0000000,129190.0000000,128790.0000000,129070.0000000,7606
SPFB.RTS,1,20200805,173000,129070.0000000,129200.0000000,128860.0000000,129170.0000000,13429
SPFB.RTS,1,20200805,174500,129160.0000000,129300.0000000,129040.0000000,129120.0000000,11087
SPFB.RTS,1,20200805,180000,129110.0000000,129450.0000000,129080.0000000,129420.0000000,12348
SPFB.RTS,1,20200805,181500,129420.0000000,129830.0000000,129360.0000000,129700.0000000,18380
SPFB.RTS,1,20200805,183000,129690.0000000,129750.0000000,129520.0000000,129600.0000000,12610
SPFB.RTS,1,20200805,183000,129690.0000000,129750.0000000,129340.0000000,129480.0000000,20095
SPFB.RTS,1,20200805,191500,129480.0000000,129520.0000000,129270.0000000,129320.0000000,4371
SPFB.RTS,1,20200805,193000,129320.0000000,129490.0000000,129240.0000000,129450.0000000,4658
SPFB.RTS,1,20200805,194500,129460.0000000,129540.0000000,129370.0000000,129420.0000000,3068
SPFB.RTS,1,20200805,200000,129430.0000000,129440.0000000,129170.0000000,129240.0000000,4166
SPFB.RTS,1,20200805,201500,129240.0000000,129310.0000000,129080.0000000,129130.0000000,3342
SPFB.RTS,1,20200805,203000,129120.0000000,129150.0000000,128890.0000000,128960.0000000,4773
SPFB.RTS,1,20200805,204500,128950.0000000,129090.0000000,128900.0000000,129030.0000000,3854
SPFB.RTS,1,20200805,210000,129030.0000000,129140.0000000,129010.0000000,129100.0000000,3396
SPFB.RTS,1,20200805,211500,129090.0000000,129160.0000000,129050.0000000,129140.0000000,2074
SPFB.RTS,1,20200805,213000,129140.0000000,129170.0000000,129060.0000000,129150.0000000,1742
SPFB.RTS,1,20200805,214500,129150.0000000,129170.0000000,129070.0000000,129100.0000000,1560
SPFB.RTS,1,20200805,220000,129090.0000000,129220.0000000,129040.0000000,129050.0000000,2211
SPFB.RTS,1,20200805,221500,129060.0000000,129230.0000000,129040.0000000,129190.0000000,1703
SPFB.RTS,1,20200805,223000,129200.0000000,129340.0000000,129120.0000000,129140.0000000,3672
SPFB.RTS,1,20200805,224500,129140.0000000,129270.0000000,128980.0000000,129180.0000000,3861
SPFB.RTS,1,20200805,230000,129180.0000000,129220.0000000,129120.0000000,129140.0000000,1265
SPFB.RTS,1,20200805,231500,129150.0000000,129170.0000000,129060.0000000,129060.0000000,1398
SPFB.RTS,1,20200805,233000,129070.0000000,129200.0000000,129060.0000000,129170.0000000,1544
SPFB.RTS,1,20200806,100000,129200.0000000,129700.0000000,128740.0000000,129560.0000000,37494
SPFB.RTS,1,20200806,101500,129560.0000000,129920.0000000,129380.0000000,129420.0000000,26065
SPFB.RTS,1,20200806,103000,129410.0000000,129800.0000000,129080.0000000,129120.0000000,20576
SPFB.RTS,1,20200806,104500,129110.0000000,129160.0000000,128560.0000000,128560.0000000,21673
SPFB.RTS,1,20200806,110000,128560.0000000,128670.0000000,128270.0000000,128460.0000000,17704
SPFB.RTS,1,20200806,111500,128470.0000000,128740.0000000,128350.0000000,128610.0000000,13774
SPFB.RTS,1,20200806,113000,128610.0000000,128770.0000000,128320.0000000,128410.0000000,13148
SPFB.RTS,1,20200806,114500,128390.0000000,128500.0000000,128270.0000000,128430.0000000,9473
SPFB.RTS,1,20200806,120000,128430.0000000,128500.0000000,128330.0000000,128380.0000000,7956
SPFB.RTS,1,20200806,121500,128370.0000000,128470.0000000,128120.0000000,128400.0000000,13437
SPFB.RTS,1,20200806,123000,128390.0000000,128730.0000000,128340.0000000,128520.0000000,10435
SPFB.RTS,1,20200806,124500,128520.0000000,128690.0000000,128420.0000000,128520.0000000,8804
SPFB.RTS,1,20200806,130000,128510.0000000,128670.0000000,128360.0000000,128510.0000000,7864
SPFB.RTS,1,20200806,131500,128510.0000000,128590.0000000,128400.0000000,128440.0000000,4878
SPFB.RTS,1,20200806,133000,128420.0000000,128420.0000000,128020.0000000,128140.0000000,12799
SPFB.RTS,1,20200806,134500,128130.0000000,128160.0000000,127790.0000000,127950.0000000,11315
SPFB.RTS,1,20200806,134500,128130.0000000,128160.0000000,127770.0000000,127990.0000000,19201
SPFB.RTS,1,20200806,141500,127990.0000000,128170.0000000,127940.0000000,128140.0000000,8114
SPFB.RTS,1,20200806,143000,128130.0000000,128330.0000000,128070.0000000,128140.0000000,8750
SPFB.RTS,1,20200806,144500,128140.0000000,128220.0000000,127860.0000000,128190.0000000,9322
SPFB.RTS,1,20200806,150000,128200.0000000,128210.0000000,127960.0000000,128140.0000000,4451
SPFB.RTS,1,20200806,151500,128150.0000000,128300.0000000,128080.0000000,128160.0000000,4722
SPFB.RTS,1,20200806,153000,128170.0000000,128900.0000000,128130.0000000,128810.0000000,20985
SPFB.RTS,1,20200806,154500,128790.0000000,128860.0000000,128630.0000000,128660.0000000,9473
SPFB.RTS,1,20200806,160000,128650.0000000,128730.0000000,128390.0000000,128450.0000000,9596
SPFB.RTS,1,20200806,161500,128460.0000000,128560.0000000,128290.0000000,128480.0000000,7355
SPFB.RTS,1,20200806,163000,128470.0000000,128480.0000000,128090.0000000,128300.0000000,16073
SPFB.RTS,1,20200806,164500,128300.0000000,128660.0000000,128290.0000000,128580.0000000,12630
