<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20200826,115300,126490.0000000,126540.0000000,126480.0000000,126500.0000000,546
SPFB.RTS,1,20200826,115400,126510.0000000,126590.0000000,126500.0000000,126580.0000000,435
SPFB.RTS,1,20200826,115500,126580.0000000,126630.0000000,126560.0000000,126570.0000000,609
SPFB.RTS,1,20200826,115600,126580.0000000,126670.0000000,126580.0000000,126660.0000000,498
SPFB.RTS,1,20200826,115700,126650.0000000,126720.0000000,126630.0000000,126710.0000000,906
SPFB.RTS,1,20200826,115800,126690.0000000,126720.0000000,126620.0000000,126640.0000000,435
SPFB.RTS,1,20200826,115900,126640.0000000,126710.0000000,126630.0000000,126660.0000000,446
SPFB.RTS,1,20200826,120000,126650.0000000,126690.0000000,126600.0000000,126650.0000000,641
SPFB.RTS,1,20200826,120100,126660.0000000,126790.0000000,126650.0000000,126770.0000000,1320
SPFB.RTS,1,20200826,120200,126780.0000000,126820.0000000,126710.0000000,126750.0000000,1427
SPFB.RTS,1,20200826,120300,126750.0000000,126800.0000000,126720.0000000,126790.0000000,604
SPFB.RTS,1,20200826,120400,126790.0000000,126820.0000000,126720.0000000,126760.0000000,734
SPFB.RTS,1,20200826,120500,126760.0000000,126780.0000000,126690.0000000,126710.0000000,727
SPFB.RTS,1,20200826,120600,126700.0000000,126710.0000000,126660.0000000,126690.0000000,850
SPFB.RTS,1,20200826,120700,126700.0000000,126800.0000000,126690.0000000,126760.0000000,1046
SPFB.RTS,1,20200826,120800,126740.0000000,126790.0000000,126720.0000000,126750.0000000,905
SPFB.RTS,1,20200826,120900,126750.0000000,126810.0000000,126740.0000000,126740.0000000,990
SPFB.RTS,1,20200826,121000,126730.0000000,126750.0000000,126620.0000000,126630.0000000,1167
SPFB.RTS,1,20200826,121100,126630.0000000,126640.0000000,126520.0000000,126550.0000000,1085
SPFB.RTS,1,20200826,121200,126550.0000000,126580.0000000,126520.0000000,126520.0000000,401
SPFB.RTS,1,20200826,121300,126520.0000000,126550.0000000,126480.0000000,126530.0000000,631
SPFB.RTS,1,20200826,121400,126510.0000000,126550.0000000,126410.0000000,126430.0000000,860
SPFB.RTS,1,20200826,121500,126420.0000000,126490.0000000,126400.0000000,126480.0000000,605
SPFB.RTS,1,20200826,121600,126490.0000000,126520.0000000,126450.0000000,126480.0000000,386
